matrix,n,nnz,tol,method,relative_error,residual_relative,iterations,elapsed_seconds,converged
vem1.mtx,1681,13385,1e-10,Gauss-Seidel,3.5082391757396198e-09,9.9363339061791182e-11,2338,0.062558,True
vem1.mtx,1681,13385,1e-10,Gradiente,2.7131630491742234e-09,9.9663561728528858e-11,3058,0.043318,True
vem1.mtx,1681,13385,1e-10,Gradiente coniugato,2.1917478546362141e-11,6.9086729293984005e-11,59,0.000872,True
vem2.mtx,2601,21225,1e-04,Jacobi,4.9684614061951179e-03,9.9921507810550643e-05,1927,0.029451,True
vem2.mtx,2601,21225,1e-04,Gauss-Seidel,4.9511892915459791e-03,9.9787323429435725e-05,965,0.036078,True
vem2.mtx,2601,21225,1e-04,Gradiente,3.8119295293910882e-03,9.9761423976078918e-05,1308,0.023995,True
vem2.mtx,2601,21225,1e-04,Gradiente coniugato,5.7290172222245595e-05,9.1881213889876808e-05,47,0.000880,True
vem2.mtx,2601,21225,1e-06,Jacobi,4.9670344316800647e-05,9.9892809700259366e-07,3676,0.055493,True
vem2.mtx,2601,21225,1e-06,Gauss-Seidel,4.9417612677684246e-05,9.9597913917694233e-07,1840,0.069269,True
vem2.mtx,2601,21225,1e-06,Gradiente,3.7914189780213595e-05,9.9228973944219499e-07,2438,0.045323,True
vem2.mtx,2601,21225,1e-06,Gradiente coniugato,4.7429962824158945e-07,8.5400102363261206e-07,56,0.001062,True
vem2.mtx,2601,21225,1e-08,Jacobi,4.9656078579808554e-07,9.9864119510167529e-09,5425,0.082469,True
vem2.mtx,2601,21225,1e-08,Gauss-Seidel,4.9583696315558240e-07,9.9932644174163478e-09,2714,0.103742,True
vem2.mtx,2601,21225,1e-08,Gradiente,3.8098505783741456e-07,9.9712753398828115e-09,3566,0.064867,True
vem2.mtx,2601,21225,1e-08,Gradiente coniugato,4.2999833626617927e-09,8.5972370791846189e-09,66,0.001277,True
vem2.mtx,2601,21225,1e-10,Jacobi,4.9641807822124739e-09,9.9835407860807449e-11,7174,0.109546,True
vem2.mtx,2601,21225,1e-10,Gauss-Seidel,4.9489069815918485e-09,9.9741843765330128e-11,3589,0.134477,True
vem2.mtx,2601,21225,1e-10,Gradiente,3.7987641983618076e-09,9.9422886370120094e-11,4696,0.084379,True
vem2.mtx,2601,21225,1e-10,Gradiente coniugato,2.2476232509261689e-11,5.9014942029210469e-11,74,0.001334,True
